customer_id,customer_name,segment,signup_date
C1000,Customer_0,Consumer,2022-06-16
C1001,Customer_1,Consumer,2022-09-10
C1002,Customer_2,Corporate,2022-01-13
C1003,Customer_3,Consumer,2022-05-13
C1004,Customer_4,Consumer,2021-12-17
C1005,Customer_5,Consumer,2022-01-25
C1006,Customer_6,Consumer,2024-02-04
C1007,Customer_7,Consumer,2022-10-11
C1008,Customer_8,Consumer,2022-03-16
C1009,Customer_9,Home Office,2022-09-20
C1010,Customer_10,Home Office,2021-09-09
C1011,Customer_11,Consumer,2021-05-20
C1012,Customer_12,Consumer,2020-11-17
C1013,Customer_13,Corporate,2021-01-02
C1014,Customer_14,Home Office,2020-11-22
C1015,Customer_15,Corporate,2023-12-18
C1016,Customer_16,Consumer,2020-12-17
C1017,Customer_17,Consumer,2020-02-29
C1018,Customer_18,Corporate,2020-05-20
C1019,Customer_19,Corporate,2022-09-22
C1020,Customer_20,Corporate,2020-12-05
C1021,Customer_21,Home Office,2021-06-29
C1022,Customer_22,Home Office,2021-04-08
C1023,Customer_23,Home Office,2021-07-24
C1024,Customer_24,Corporate,2023-07-26
C1025,Customer_25,Consumer,2023-12-09
C1026,Customer_26,Consumer,2021-03-07
C1027,Customer_27,Corporate,2023-07-06
C1028,Customer_28,Corporate,2023-02-19
C1029,Customer_29,Corporate,2023-04-11
C1030,Customer_30,Home Office,2023-08-24
C1031,Customer_31,Corporate,2023-02-21
C1032,Customer_32,Corporate,2021-10-12
C1033,Customer_33,Consumer,2022-10-10
C1034,Customer_34,Corporate,2022-03-03
C1035,Customer_35,Corporate,2020-10-11
C1036,Customer_36,Home Office,2021-03-07
C1037,Customer_37,Corporate,2023-02-27
C1038,Customer_38,Consumer,2023-11-18
C1039,Customer_39,Corporate,2021-08-18
C1040,Customer_40,Consumer,2023-01-09
C1041,Customer_41,Corporate,2022-08-27
C1042,Customer_42,Corporate,2023-03-25
C1043,Customer_43,Consumer,2020-04-10
C1044,Customer_44,Consumer,2023-07-25
C1045,Customer_45,Consumer,2023-03-13
C1046,Customer_46,Corporate,2020-09-30
C1047,Customer_47,Home Office,2020-01-23
C1048,Customer_48,Home Office,2023-10-11
C1049,Customer_49,Corporate,2021-07-19
C1050,Customer_50,Corporate,2022-02-21
C1051,Customer_51,Home Office,2024-01-14
C1052,Customer_52,Corporate,2020-12-02
C1053,Customer_53,Corporate,2022-12-27
C1054,Customer_54,Corporate,2023-05-15
C1055,Customer_55,Corporate,2020-10-02
C1056,Customer_56,Consumer,2023-12-18
