order_id,order_date,customer_id,product_id,region,sales_amount,quantity,discount
1000,2022-02-19,C1904,P443,East,421.36,2,0.05
1001,2024-04-07,C2010,P325,South,579.86,2,0.0
1002,2023-11-27,C2000,P493,EAST,704.57,1,0.0
1003,2022-09-09,C2083,P425,West,232.78,5,0.1
1004,2023-10-14,C1817,P318,EAST,87.55,2,0.0
1005,2023-06-16,C1731,P208,NORTH,914.86,4,0.2
1006,2024-06-01,C1857,P338,South,489.4,5,0.15
1007,2023-02-23,C1235,P453,west,91.6,5,0.1
1008,2024-06-08,C1955,P272,North,365.03,2,0.2
1009,2023-02-09,C1235,P255,NORTH,730.58,4,0.0
1010,2022-04-21,C1608,P310,South,485.33,4,0.1
1011,2022-04-20,C1430,P308,EAST,355.42,5,0.15
1012,2035-01-01,C1710,P312,SOUTH,762.42,4,0.15
1013,2022-06-29,C1479,P237,South,395.14,5,0.05
1014,2023-12-07,C2173,P401,south,256.01,4,0.0
1015,2023-11-25,C1782,P384,WEST,809.17,5,0.2
1016,2022-02-13,C1982,P338,Wst,545.96,5,0.2
1017,2022-03-11,C2080,P375,East,101.25,2,0.05
1018,2022-10-29,C1414,P381,north,412.8,5,0.1
1019,2023-02-19,C1918,P248,Wst,953.77,2,0.05
1020,2023-01-13,C1464,P312,WEST,534.82,2,0.2
1021,2023-06-09,C1420,P471,south,750.18,3,0.1
1022,2022-03-18,C2173,P289,North,273.65,4,0.05
1023,2022-01-09,C1429,P488,East,978.92,4,0.15
1024,2022-01-17,C2096,P361,south,381.55,1,0.05
1025,2023-05-31,C1735,P246,East,998.96,3,0.05
1026,2022-09-27,C1924,P238,North,740.91,4,0.05
1027,2023-11-06,C1866,P306,SOUTH,897.37,3,0.0
1028,2023-09-01,C1518,P232,NORTH,923.68,4,0.0
1029,2022-05-15,C2105,P497,SOUTH,858.53,5,0.1
1030,2023-09-07,C1837,P425,South,61.08,1,1.5
1031,2022-05-28,C1161,P282,NORTH,186.7,5,0.2
1032,2035-01-01,C1661,P409,north,736.5,5,0.0
1033,2022-05-30,C1177,P262,south,668.86,5,1.5
1034,2022-06-28,C1152,P299,EAST,908.87,4,0.05
1035,2022-07-04,C1463,P224,South,815.88,1,0.1
1036,2022-06-29,C1471,P446,West,417.06,4,0.15
1037,2024-02-27,C1121,P479,EAST,222.96,1,0.0
1038,2024-04-06,C1161,P237,Wst,690.56,3,0.0
1039,2023-06-26,C1486,P202,West,315.27,2,0.05
1040,2023-04-29,C1629,P435,Wst,791.89,3,0.15
1041,2023-04-10,C1348,P369,East,528.13,1,0.2
1042,2022-01-26,C1708,P397,WEST,368.36,4,0.15
1043,2022-09-09,C1850,P211,South,964.97,5,0.2
1044,2023-03-07,C1220,P227,south,665.05,5,0.2
1045,2022-04-26,C1694,P398,WEST,608.17,1,0.1
1046,2024-06-13,C1742,P304,South,596.19,4,0.05
1047,2022-12-13,C1621,P222,West,680.13,4,0.15
1048,2022-01-06,C2007,P450,SOUTH,524.27,5,0.0
1049,2022-12-19,C1579,P388,south,850.49,3,0.0
1050,2022-09-14,C1845,P370,west,411.24,1,0.2
1051,2022-10-16,C2120,P477,SOUTH,585.46,1,0.2
1052,2024-01-18,C1342,P311,North,543.72,1,0.15
1053,2023-07-29,C1884,P287,North,99999.0,4,0.05
1054,2023-12-26,C2099,P243,south,825.23,5,0.2
1055,2022-11-11,C2196,P456,SOUTH,286.74,3,0.15
1056,2023-07-27,C1813,P243,Wst,729.79,4,0.2
1057,2023-09-02,C1555,P441,South,651.34,4,0.15
1058,2023-01-09,C1466,P417,South,185.69,2,0.2
1059,2022-07-11,C1797,P332,EAST,635.41,5,0.15
1060,2023-02-17,C1356,P330,EAST,782.55,4,0.2
1061,2035-01-01,C1307,P226,NORTH,774.37,3,0.15
1062,2023-06-27,C1415,P325,Wst,548.9,3,0.05
1063,2024-04-02,C2050,P422,SOUTH,617.59,4,0.15
1064,2022-03-15,C1431,P384,South,125.13,2,0.1
1065,2023-01-30,C1251,P233,north,57.66,5,0.2
1066,2022-12-24,C1713,P467,south,603.32,3,0.15
1067,2023-09-08,C1188,P453,EAST,893.96,2,0.2
1068,2022-02-27,C1724,P460,east,-521.61,1,0.05
1069,2023-10-25,C1487,P284,NORTH,780.31,4,0.05
1070,2023-09-06,C1569,P323,north,457.16,1,0.05
1071,2024-04-30,C2005,P484,West,914.15,5,0.0
1072,,C1081,P389,West,356.59,1,0.0
1073,2023-12-29,C1261,P272,west,820.75,4,0.1
1074,2022-11-27,C2073,P466,EAST,291.98,3,0.2
1075,2023-06-03,C1325,P420,Wst,98.73,5,0.15
1076,2024-05-11,C1941,P226,East,914.95,3,0.2
1077,2024-05-01,C1650,P206,South,354.68,4,0.0
1078,2023-03-25,C1612,P369,north,85.54,2,0.15
1079,,C1758,P460,SOUTH,730.39,5,0.0
1080,2023-04-17,C1352,P491,north,267.07,5,0.0
1081,2023-04-13,C1875,P269,east,224.55,4,0.1
1082,2022-12-18,C1168,P408,east,989.41,1,0.05
1083,2024-03-10,C1605,P466,South,328.67,4,0.15
1084,2023-12-15,C1274,P280,Wst,467.6,2,0.0
1085,2023-01-02,C1466,P412,West,759.24,4,0.2
1086,,C1533,P390,south,434.26,1,0.2
1087,2024-05-20,C2053,P493,SOUTH,428.02,4,0.2
1088,2022-11-09,C1608,P363,West,249.18,4,0.15
1089,2023-03-01,C1511,P213,NORTH,436.13,2,0.0
1090,2022-07-25,C1590,P397,South,754.78,1,0.0
1091,2022-12-27,C2047,P357,south,737.59,4,0.0
1092,2023-06-15,C2078,P293,East,781.16,2,0.05
1093,2024-01-17,,P438,South,865.44,5,0.1
1094,2022-10-16,C1554,P281,west,769.95,2,0.2
1095,2023-09-17,C1013,P267,south,713.41,4,0.1
1096,2023-03-19,C1901,P224,SOUTH,798.17,2,0.15
1097,2022-05-25,C1512,P254,NORTH,285.46,3,0.15
1098,2023-07-05,C1070,P302,SOUTH,876.25,2,0.1
1099,2023-03-05,C1614,P381,south,602.67,2,0.2
1100,2023-05-16,C1050,P413,Wst,877.64,3,0.05
1101,2023-11-05,C1724,P306,South,782.45,1,0.1
1102,2022-07-28,C1985,P288,north,849.94,3,0.05
1103,2023-03-01,C1049,P255,EAST,789.01,4,0.0
1104,2023-02-15,C2089,P280,South,778.96,2,0.2
1105,2024-03-05,C2139,P454,east,557.73,5,0.2
1106,2022-03-25,C2165,P318,East,82.03,3,0.15
